"folder","package","version","upload_time","label"
"accelerate-0.11.0","accelerate","0.11.0","2022-07-18T12:55:09","benign"
"adafruit-circuitpython-busdevice-5.2.0","adafruit-circuitpython-busdevice","5.2.0","2022-07-26T15:29:41","benign"
"addict-2.4.0","addict","2.4.0","2020-11-21T16:21:29","benign"
"aider_chat-0.86.2","aider_chat","0.86.2","2026-02-12T00:42:52","benign"
"aiobotocore-3.3.0","aiobotocore","3.3.0","2026-03-18T09:58:47","benign"
"aiofiles-0.8.0","aiofiles","0.8.0","2021-11-27T15:05:27","benign"
"aiohttp-3.13.5","aiohttp","3.13.5","2026-03-31T21:56:30","benign"
"aiohttp-4.0.0a1","aiohttp","4.0.0a1","2019-10-09T11:29:30","benign"
"aiohttp-security-0.5.0","aiohttp-security","0.5.0","2023-11-18T20:10:30","benign"
"aiosqlite-0.17.0","aiosqlite","0.17.0","2021-02-22T01:01:07","benign"
"aio_pika-9.6.2","aio_pika","9.6.2","2026-03-22T19:03:19","benign"
"alibabacloud_adb20211201-3.7.1","alibabacloud_adb20211201","3.7.1","2026-01-06T18:41:21","benign"
"alibabacloud_endpoint_util-0.0.3","alibabacloud_endpoint_util","0.0.3","2020-09-16T07:27:42","benign"
"aliyun-python-sdk-core-2.13.36","aliyun-python-sdk-core","2.13.36","2022-02-07T09:10:20","benign"
"ansimarkup-2.2.0","ansimarkup","2.2.0","2026-02-04T21:48:03","benign"
"anyio-3.6.1","anyio","3.6.1","2022-05-13T12:50:47","benign"
"apache_airflow_providers_apache_livy-4.5.3","apache_airflow_providers_apache_livy","4.5.3","2026-02-02T15:36:32","benign"
"apache_airflow_providers_apprise-2.3.1","apache_airflow_providers_apprise","2.3.1","2026-01-17T10:46:21","benign"
"apache_airflow_providers_cncf_kubernetes-4.2.0rc1","apache_airflow_providers_cncf_kubernetes","4.2.0rc1","2022-07-13T20:57:50","benign"
"apache_airflow_providers_teradata-3.5.0","apache_airflow_providers_teradata","3.5.0","2026-03-02T21:01:36","benign"
"APScheduler-3.9.1","APScheduler","3.9.1","2022-02-27T16:06:31","benign"
"argon2_cffi-21.3.0","argon2_cffi","21.3.0","2021-12-11T11:47:48","benign"
"arrow-1.4.0","arrow","1.4.0","2025-10-18T17:46:45","benign"
"asn1crypto-1.5.1","asn1crypto","1.5.1","2022-03-15T14:46:51","benign"
"astroquery-0.4.7.dev7946","astroquery","0.4.7.dev7946","2022-07-27T22:20:02","benign"
"asttokens-2.0.5","asttokens","2.0.5","2021-04-19T15:38:24","benign"
"attrs-26.1.0","attrs","26.1.0","2026-03-19T14:22:23","benign"
"autopage-0.5.1","autopage","0.5.1","2022-05-27T14:51:03","benign"
"aws_cdk.aws_events-1.166.1","aws_cdk.aws_events","1.166.1","2022-07-29T18:00:46","benign"
"aws_cdk.aws_s3-1.166.1","aws_cdk.aws_s3","1.166.1","2022-07-29T18:03:08","benign"
"aws_cdk_lib-2.34.2","aws_cdk_lib","2.34.2","2022-07-30T01:14:22","benign"
"azure-storage-blob-12.28.0","azure-storage-blob","12.28.0","2026-01-06T23:48:58","benign"
"azure_cli_command_modules_nspkg-2.0.3","azure_cli_command_modules_nspkg","2.0.3","2019-07-02T20:19:28","benign"
"azure_cosmosdb_nspkg-2.0.2","azure_cosmosdb_nspkg","2.0.2","2017-10-05T01:51:53","benign"
"azure_mgmt_media-10.2.1","azure_mgmt_media","10.2.1","2025-06-03T07:09:09","benign"
"Babel-2.10.3","Babel","2.10.3","2022-06-16T06:31:20","benign"
"backports.csv-1.0.7","backports.csv","1.0.7","2019-03-11T03:05:31","benign"
"backports.tempfile-1.0rc1","backports.tempfile","1.0rc1","2016-03-10T00:35:51","benign"
"backports.zoneinfo-0.2.1","backports.zoneinfo","0.2.1","2020-06-23T13:51:18","benign"
"bcrypt-5.0.0","bcrypt","5.0.0","2025-09-25T19:49:05","benign"
"behave-1.2.6","behave","1.2.6","2018-02-25T20:06:34","benign"
"bidict-0.22.0","bidict","0.22.0","2022-03-23T22:21:10","benign"
"billiard-4.0.1","billiard","4.0.1","2022-08-01T08:13:45","benign"
"bitarray-2.6.0","bitarray","2.6.0","2022-07-19T06:36:02","benign"
"black-22.6.0","black","22.6.0","2022-06-28T02:24:58","benign"
"black-26.3.1","black","26.3.1","2026-03-12T03:39:58","benign"
"blessings-1.7","blessings","1.7","2018-06-21T14:00:07","benign"
"boto3-1.43.0","boto3","1.43.0","2026-04-29T22:07:46","benign"
"boto3_stubs-1.24.42","boto3_stubs","1.24.42","2022-07-30T20:28:45","benign"
"Bottleneck-1.3.5rc2","Bottleneck","1.3.5rc2","2022-07-02T18:29:27","benign"
"boxsdk-3.4.0","boxsdk","3.4.0","2022-07-06T16:03:33","benign"
"build-0.8.0","build","0.8.0","2022-05-22T15:10:32","benign"
"bullet-2.2.0","bullet","2.2.0","2020-08-14T05:01:47","benign"
"bump2version-1.0.1","bump2version","1.0.1","2020-10-07T18:38:38","benign"
"cachetools-5.2.0","cachetools","5.2.0","2022-05-29T20:53:04","benign"
"cattrs-26.1.0","cattrs","26.1.0","2026-02-18T22:15:17","benign"
"celery-5.6.3","celery","5.6.3","2026-03-26T12:14:49","benign"
"certbot_dns_duckdns-1.8.0","certbot_dns_duckdns","1.8.0","2026-02-01T19:43:13","benign"
"certipy-0.1.3","certipy","0.1.3","2019-03-18T17:31:09","benign"
"cfn_lint-0.61.4","cfn_lint","0.61.4","2022-07-29T16:14:57","benign"
"chameleon-4.6.0","chameleon","4.6.0","2024-12-31T11:19:59","benign"
"chevron-0.14.0","chevron","0.14.0","2021-01-02T22:47:57","benign"
"clang-14.0","clang","14.0","2022-02-12T17:56:58","benign"
"click-8.1.3","click","8.1.3","2022-04-28T17:36:06","benign"
"click-8.3.3","click","8.3.3","2026-04-22T15:11:25","benign"
"click-completion-0.5.2","click-completion","0.5.2","2019-10-15T16:21:42","benign"
"click_help_colors-0.9.1","click_help_colors","0.9.1","2021-07-11T11:59:14","benign"
"clikit-0.6.2","clikit","0.6.2","2020-06-09T20:17:17","benign"
"cloudpickle-2.1.0","cloudpickle","2.1.0","2022-05-20T15:36:32","benign"
"cloudscraper-1.2.60","cloudscraper","1.2.60","2022-03-15T12:33:17","benign"
"colcon-argcomplete-0.3.3","colcon-argcomplete","0.3.3","2019-07-16T22:29:06","benign"
"colorlog-6.10.1","colorlog","6.10.1","2025-10-16T16:14:10","benign"
"commonmark-0.9.1","commonmark","0.9.1","2019-10-04T15:37:37","benign"
"ConfigArgParse-1.5.3","ConfigArgParse","1.5.3","2021-10-03T00:17:22","benign"
"configparser-5.2.0","configparser","5.2.0","2021-12-03T17:56:00","benign"
"configparser-7.2.0","configparser","7.2.0","2025-03-08T16:04:07","benign"
