package,version,label,timestamp
cheetah,2.4.4,benign,2010-12-13T04:50:20
logging,0.4.9.6,benign,2013-06-04T23:43:22
confluence,0.1,benign,2013-06-13T18:05:34
requests-toolbelt,0.1.0,malicious,2014-01-18T22:06:38
bitbucket-api,0.5.0,benign,2014-02-28T19:50:33
docopt,0.6.2,benign,2014-06-16T11:18:57
wikipedia,1.4.0,benign,2014-11-15T15:59:49
fpdf,1.7.2,benign,2015-01-21T00:07:47
unittest2,1.1.0,benign,2015-06-30T06:48:27
sklearn,0.0,benign,2015-07-15T14:17:46
argparse,1.4.0,benign,2015-09-12T20:22:16
lockfile,0.12.2,benign,2015-11-25T18:29:58
backports.tempfile,1.0rc1,benign,2016-03-10T00:35:51
pygeohash,1.2.0,benign,2016-04-05T15:59:51
pyqrcode,1.2.1,benign,2016-06-20T03:28:03
jstyleson,0.0.2,benign,2016-06-21T14:38:54
redis-dump-load,1.1,benign,2016-09-10T02:12:18
zipfile36,0.1.3,benign,2016-10-16T13:09:03
pyencrypt,0.0.4,malicious,2016-10-30T12:35:46
cryptoclip,1.1.1,malicious,2016-12-15T02:09:47
descartes,1.1.0,benign,2017-01-17T15:37:01
limit,0.2.3,benign,2017-02-14T16:16:09
setuptools_git,1.2,benign,2017-02-18T00:31:15
teradata,15.10.0.21,benign,2017-04-29T22:12:29
postmark,1.0.0,benign,2017-05-20T09:33:32
Zope2,4.0a6,benign,2017-06-01T12:21:35
haystack,0.42,benign,2017-07-03T04:44:49
xlwt,1.3.0,benign,2017-08-22T06:47:16
azure_cosmosdb_nspkg,2.0.2,benign,2017-10-05T01:51:53
apns2-client,0.5.4,malicious,2017-12-21T06:35:57
flup,1.0.3,benign,2018-02-07T21:55:36
ply,3.11,benign,2018-02-15T19:01:27
behave,1.2.6,benign,2018-02-25T20:06:34
sage,0.0.0,benign,2018-04-06T02:52:49
flask-oidc,1.4.0,benign,2018-04-12T18:38:57
numphy,0.0.2,malicious,2018-05-02T18:20:13
blessings,1.7,benign,2018-06-21T14:00:07
boto,2.49.0,malicious,2018-07-11T20:58:55
gitlab,1.0.2,benign,2018-07-29T14:41:48
statsd,3.3.0,benign,2018-08-22T14:19:48
eth_utils,2.0.0a0,benign,2018-09-17T21:38:24
PyInquirer,1.0.3,benign,2018-11-22T19:22:15
airflow,0.6,benign,2018-11-27T10:15:49
graphframes,0.6,benign,2018-12-05T06:02:32
ratelimit,2.2.1,benign,2018-12-17T18:55:49
gputil,1.4.0,benign,2018-12-18T09:12:13
gitchangelog,3.0.4,benign,2018-12-21T14:01:07
iptools,0.7.0,benign,2019-01-07T05:00:22
requests_html,0.10.0,benign,2019-02-17T20:14:17
backports.csv,1.0.7,benign,2019-03-11T03:05:31
certipy,0.1.3,benign,2019-03-18T17:31:09
pyad,0.6.0,benign,2019-04-04T20:38:33
